Player,Team,G,GS,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,TS%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,BPM,VORP,WS,WS/48,Share,W/L%,Seed,Year
A.J. Price,PHO,26.0,0.0,12.5,0.372,0.263,0.45,0.427,0.667,1.2,1.8,0.3,0.0,5.1,12.0,0.451,8.9,5.6,23.5,1.1,0.0,22.5,0.0,0.2,-1.4,0.0,0.3,0.041,0.0,.476,10,2015
Aaron Brooks,CHI,82.0,21.0,23.0,0.421,0.387,0.442,0.495,0.833,2.0,3.2,0.7,0.2,11.6,14.4,0.534,7.5,4.8,24.2,1.5,0.6,25.0,1.7,1.5,-0.8,0.5,3.3,0.083,0.0,.610,3,2015
Aaron Gordon,ORL,47.0,8.0,17.0,0.447,0.271,0.5,0.478,0.721,3.6,0.7,0.4,0.5,5.2,11.4,0.517,17.8,12.0,6.3,1.3,2.2,15.5,0.3,0.7,-2.7,-0.2,1.0,0.06,0.0,.305,13,2015
Adreian Payne,MIN,32.0,22.0,23.1,0.414,0.111,0.427,0.416,0.652,5.1,0.9,0.6,0.3,6.7,7.7,0.443,18.2,12.5,6.4,1.3,1.0,17.0,-0.7,0.2,-6.9,-0.9,-0.5,-0.033,0.0,.195,15,2015
Al Horford,ATL,76.0,76.0,30.5,0.538,0.306,0.547,0.544,0.759,7.2,3.2,0.9,1.3,15.2,21.4,0.563,19.8,13.4,18.6,1.5,3.5,22.2,5.1,3.6,4.1,3.6,8.7,0.179,0.0,.732,1,2015
Al Jefferson,CHO,65.0,61.0,30.6,0.481,0.4,0.482,0.482,0.655,8.4,1.7,0.7,1.3,16.6,19.7,0.5,25.5,15.1,11.6,1.2,3.3,26.3,1.3,3.4,1.6,1.8,4.7,0.113,0.0,.402,11,2015
Al-Farouq Aminu,DAL,74.0,3.0,18.5,0.412,0.274,0.485,0.459,0.712,4.6,0.8,0.9,0.8,5.6,14.4,0.504,18.4,13.7,6.1,2.6,3.7,15.2,1.2,2.0,0.7,1.0,3.3,0.115,0.0,.610,7,2015
Alan Anderson,BRK,74.0,19.0,23.6,0.443,0.348,0.53,0.526,0.812,2.8,1.1,0.8,0.1,7.4,10.6,0.563,11.1,6.6,7.2,1.7,0.2,14.2,1.7,1.1,-1.5,0.2,2.7,0.075,0.0,.463,8,2015
Alec Burks,UTA,27.0,27.0,33.3,0.403,0.382,0.409,0.447,0.822,4.2,3.0,0.6,0.2,13.9,13.0,0.524,12.1,7.3,15.2,1.0,0.4,20.8,1.1,0.6,-1.7,0.1,1.7,0.089,0.0,.463,11,2015
Alex Kirk,CLE,5.0,0.0,2.8,0.25,0.0,0.25,0.25,1.0,0.2,0.2,0.0,0.0,0.8,8.5,0.41,0.0,4.1,10.1,0.0,0.0,15.7,0.0,0.0,-6.0,0.0,0.0,0.061,0.0,.646,2,2015
